Sp,K,N,P,1Cpg,Order
Schleichera oleosa,#¡DIV/0!,1.259165,#¡DIV/0!,1.165,Sapindales
Sclerocarya birrea,#¡DIV/0!,2.3,0.1,1.23,Sapindales
Simarouba glauca,0.4961336,1.763633333,0.078959551,8.2,Sapindales
Skimmia japonica,0.77,1.14,0.12,3.2,Sapindales
Ribes alpinum,1.84,1.88,0.141,1.01,Saxifragales
Ribes uva-crispa,2.361666667,2.178611111,0.171888889,3.76,Saxifragales
Lycium chilense,#¡DIV/0!,1.6,#¡DIV/0!,5.025,Solanales
Lycium chinense,0.91246775,4.07,0.339,9.66,Solanales
Lycium ruthenicum,0.69,2.87,0.1135,10.9,Solanales
Solanum torvum,#¡DIV/0!,2.26,0.22,1.4,Solanales
Bulnesia arborea,0.739,1.969,0.136,0.5,Zygophyllales
Larrea divaricata,#¡DIV/0!,1.33,#¡DIV/0!,0.8,Zygophyllales
Larrea tridentata,0.815,1.703727928,0.262568792,14.8,Zygophyllales
